country,time
Greece,2012
Spain,2012
France,2012
Croatia,2012
Italy,2012
Cyprus,2012
Latvia,2012
Lithuania,2012
Luxembourg,2012
Hungary,2012
Malta,2012
Netherlands,2012
Austria,2012
Poland,2012
Portugal,2012
Romania,2012
Slovenia,2012
Slovakia,2012
Finland,2012
Sweden,2012
United Kingdom,2012
Belgium,2013
Bulgaria,2013
Czechia,2013
Denmark,2013
Germany (until 1990 former territory of the FRG),2013
Estonia,2013
Ireland,2013
Greece,2013
Spain,2013
France,2013
Croatia,2013
Italy,2013
Cyprus,2013
Latvia,2013
Lithuania,2013
Luxembourg,2013
Hungary,2013
Malta,2013
Netherlands,2013
Austria,2013
Poland,2013
Portugal,2013
Romania,2013
Slovenia,2013
Slovakia,2013
Finland,2013
Sweden,2013
United Kingdom,2013
Belgium,2014
Bulgaria,2014
Czechia,2014
Denmark,2014
Germany (until 1990 former territory of the FRG),2014
Estonia,2014
Ireland,2014
Greece,2014
Spain,2014
France,2014
Croatia,2014
Italy,2014
Cyprus,2014
Latvia,2014
Lithuania,2014
Luxembourg,2014
Hungary,2014
Malta,2014
Netherlands,2014
Austria,2014
Poland,2014
Portugal,2014
Romania,2014
Slovenia,2014
Slovakia,2014
Finland,2014
Sweden,2014
United Kingdom,2014
Belgium,2015
Bulgaria,2015
Czechia,2015
Denmark,2015
Germany (until 1990 former territory of the FRG),2015
Estonia,2015
Ireland,2015
Greece,2015
Spain,2015
France,2015
Croatia,2015
Italy,2015
Cyprus,2015
Latvia,2015
Lithuania,2015
Luxembourg,2015
Hungary,2015
Malta,2015
Netherlands,2015
Austria,2015
Poland,2015
Portugal,2015
Romania,2015
Slovenia,2015
Slovakia,2015
Finland,2015
Sweden,2015
United Kingdom,2015
Belgium,2016
Bulgaria,2016
Czechia,2016
Denmark,2016
Germany (until 1990 former territory of the FRG),2016
Estonia,2016
Ireland,2016
Greece,2016
Spain,2016
France,2016
Croatia,2016
Italy,2016
Cyprus,2016
Latvia,2016
Lithuania,2016
Luxembourg,2016
Hungary,2016
Malta,2016
Netherlands,2016
Austria,2016
Poland,2016
Portugal,2016
Romania,2016
Slovenia,2016
Slovakia,2016
Finland,2016
Sweden,2016
United Kingdom,2016
Belgium,2017
Bulgaria,2017
Czechia,2017
Denmark,2017
Germany (until 1990 former territory of the FRG),2017
Estonia,2017
Ireland,2017
Greece,2017
Spain,2017
France,2017
Croatia,2017
Italy,2017
Cyprus,2017
Latvia,2017
Lithuania,2017
Luxembourg,2017
Hungary,2017
Malta,2017
Netherlands,2017
Austria,2017
Poland,2017
Portugal,2017
Romania,2017
Slovenia,2017
Slovakia,2017
Finland,2017
Sweden,2017
United Kingdom,2017
Belgium,2018
Bulgaria,2018
Czechia,2018
Denmark,2018
Germany (until 1990 former territory of the FRG),2018
Estonia,2018
Ireland,2018
Greece,2018
Spain,2018
France,2018
Croatia,2018
Italy,2018
Cyprus,2018
Latvia,2018
Lithuania,2018
Luxembourg,2018
Hungary,2018
Malta,2018
Netherlands,2018
Austria,2018
Poland,2018
Portugal,2018
Romania,2018
Slovenia,2018
Slovakia,2018
Finland,2018
Sweden,2018
United Kingdom,2018
Belgium,2019
Bulgaria,2019
Czechia,2019
Denmark,2019
Germany (until 1990 former territory of the FRG),2019
Estonia,2019
Ireland,2019
Greece,2019
Spain,2019
France,2019
Croatia,2019
Italy,2019
Cyprus,2019
Latvia,2019
Lithuania,2019
Luxembourg,2019
Hungary,2019
Malta,2019
Netherlands,2019
Austria,2019
Poland,2019
Portugal,2019
Romania,2019
Slovenia,2019
Slovakia,2019
Finland,2019
Sweden,2019
United Kingdom,2019
